OrderKey,DateKey,ProductKey,StoreKey,CustomerKey,Quantity,UnitPrice,DiscountPercent,UnitCost,OrderChannel
41,2023-01-02,PRD011,STR11,CUS00548,1,1116.0,0.0,715.75,In-Store
42,2023-01-02,PRD048,STR05,CUS00473,1,892.97,0.0,502.98,In-Store
43,2023-01-02,PRD034,STR02,CUS00215,1,8918.55,0.0,5825.84,In-Store
44,2023-01-02,PRD015,STR13,CUS02326,1,1179.13,0.0,939.71,In-Store
45,2023-01-02,PRD042,STR14,CUS02446,1,266.99,0.0,182.18,Online
46,2023-01-02,PRD031,STR12,CUS01030,1,5326.19,0.0,3732.55,In-Store
47,2023-01-02,PRD019,STR04,CUS01720,1,3752.67,0.0,2331.1,In-Store
48,2023-01-02,PRD013,STR17,CUS00504,1,2327.49,0.0,1299.57,Online
49,2023-01-02,PRD007,STR14,CUS01382,2,80040.53,0.0,43725.36,Online
50,2023-01-02,PRD008,STR12,CUS00409,1,27873.72,0.0,21802.36,In-Store
51,2023-01-02,PRD045,STR12,CUS00670,2,592.01,0.0,413.18,In-Store
52,2023-01-02,PRD030,STR17,CUS00472,2,10244.81,0.0,5833.55,Online
53,2023-01-02,PRD017,STR17,CUS00079,3,2842.6,0.0,2119.97,Online
54,2023-01-02,PRD003,STR11,CUS00884,1,10911.78,0.0,7072.94,In-Store
55,2023-01-02,PRD039,STR08,CUS01964,1,6108.59,0.1,4829.6,In-Store
56,2023-01-02,PRD007,STR07,CUS01615,3,80040.53,0.0,43725.36,In-Store
57,2023-01-02,PRD033,STR15,CUS02320,1,6468.2,0.0,4738.95,Online
58,2023-01-02,PRD001,STR11,CUS01108,1,37230.73,0.0,20591.21,In-Store
59,2023-01-02,PRD019,STR02,CUS01830,1,3752.67,0.0,2331.1,In-Store
60,2023-01-02,PRD024,STR03,CUS00511,3,6786.83,0.0,4995.71,In-Store
61,2023-01-02,PRD004,STR17,CUS00323,2,52665.96,0.0,29508.13,Online
62,2023-01-02,PRD001,STR16,CUS01847,3,37230.73,0.0,20591.21,Online
63,2023-01-02,PRD013,STR17,CUS02067,1,2327.49,0.0,1299.57,Online
64,2023-01-02,PRD034,STR08,CUS01115,1,8918.55,0.0,5825.84,In-Store
65,2023-01-02,PRD026,STR14,CUS01869,1,4459.32,0.1,3305.64,Online
66,2023-01-02,PRD031,STR15,CUS01326,1,5326.19,0.0,3732.55,Online
67,2023-01-02,PRD022,STR06,CUS00480,1,3053.81,0.0,2119.47,In-Store
68,2023-01-02,PRD032,STR03,CUS00277,1,5225.34,0.0,3782.27,In-Store
69,2023-01-03,PRD012,STR10,CUS00059,1,3043.12,0.0,1698.89,In-Store
70,2023-01-03,PRD032,STR02,CUS01268,1,5225.34,0.0,3782.27,In-Store
71,2023-01-03,PRD018,STR11,CUS02188,1,2923.47,0.0,1807.51,In-Store
72,2023-01-03,PRD024,STR02,CUS01001,2,6786.83,0.0,4995.71,In-Store
73,2023-01-03,PRD023,STR17,CUS00253,1,6348.35,0.0,3607.97,Online
74,2023-01-03,PRD037,STR04,CUS00818,1,1804.66,0.2,1370.06,In-Store
75,2023-01-03,PRD032,STR12,CUS00441,1,5225.34,0.0,3782.27,In-Store
76,2023-01-03,PRD031,STR03,CUS01426,1,5326.19,0.0,3732.55,In-Store
77,2023-01-03,PRD011,STR04,CUS01074,1,1116.0,0.0,715.75,In-Store
78,2023-01-03,PRD043,STR08,CUS02289,1,354.16,0.0,280.18,In-Store
79,2023-01-03,PRD007,STR10,CUS02387,2,80040.53,0.0,43725.36,In-Store
80,2023-01-03,PRD024,STR18,CUS02104,1,6786.83,0.0,4995.71,Online
81,2023-01-03,PRD021,STR01,CUS02100,2,5064.11,0.0,2806.05,In-Store
82,2023-01-03,PRD011,STR01,CUS01517,1,1116.0,0.0,715.75,In-Store
83,2023-01-03,PRD005,STR06,CUS02405,1,18335.12,0.0,11384.88,In-Store
84,2023-01-03,PRD022,STR07,CUS01500,1,3053.81,0.0,2119.47,In-Store
85,2023-01-03,PRD003,STR16,CUS02429,1,10911.78,0.0,7072.94,Online
86,2023-01-03,PRD007,STR17,CUS01137,1,80040.53,0.0,43725.36,Online
87,2023-01-03,PRD017,STR16,CUS00876,1,2842.6,0.0,2119.97,Online
88,2023-01-03,PRD015,STR03,CUS02198,1,1179.13,0.0,939.71,In-Store
89,2023-01-03,PRD018,STR08,CUS01676,1,2923.47,0.1,1807.51,In-Store
90,2023-01-03,PRD013,STR14,CUS00910,1,2327.49,0.0,1299.57,Online
91,2023-01-03,PRD047,STR06,CUS02332,1,205.45,0.0,161.22,In-Store
92,2023-01-03,PRD044,STR12,CUS00391,1,177.02,0.0,109.94,In-Store
93,2023-01-03,PRD004,STR04,CUS00371,1,52665.96,0.0,29508.13,In-Store
94,2023-01-03,PRD018,STR06,CUS02157,1,2923.47,0.0,1807.51,In-Store
95,2023-01-03,PRD006,STR16,CUS02456,1,50500.57,0.0,28977.4,Online
96,2023-01-03,PRD037,STR05,CUS01881,1,1804.66,0.0,1370.06,In-Store
97,2023-01-03,PRD030,STR18,CUS00811,2,10244.81,0.0,5833.55,Online
98,2023-01-03,PRD023,STR06,CUS02377,1,6348.35,0.0,3607.97,In-Store
99,2023-01-04,PRD044,STR08,CUS00568,1,177.02,0.0,109.94,In-Store
100,2023-01-04,PRD049,STR15,CUS01514,1,824.82,0.0,573.15,Online
101,2023-01-04,PRD014,STR11,CUS00780,1,2070.71,0.0,1222.65,In-Store
102,2023-01-04,PRD047,STR01,CUS00026,1,205.45,0.0,161.22,In-Store
103,2023-01-04,PRD031,STR10,CUS01922,1,5326.19,0.0,3732.55,In-Store
104,2023-01-04,PRD012,STR11,CUS01054,1,3043.12,0.0,1698.89,In-Store
105,2023-01-04,PRD008,STR17,CUS00178,1,27873.72,0.0,21802.36,Online
106,2023-01-04,PRD026,STR08,CUS00657,2,4459.32,0.0,3305.64,In-Store
107,2023-01-04,PRD010,STR10,CUS01407,1,27395.05,0.0,17615.0,In-Store
108,2023-01-04,PRD032,STR09,CUS01960,1,5225.34,0.0,3782.27,In-Store
109,2023-01-04,PRD042,STR10,CUS00569,1,266.99,0.0,182.18,In-Store
110,2023-01-04,PRD050,STR02,CUS01087,1,764.72,0.05,563.54,In-Store
111,2023-01-04,PRD007,STR17,CUS01113,1,80040.53,0.0,43725.36,Online
112,2023-01-04,PRD019,STR17,CUS00722,1,3752.67,0.1,2331.1,Online
113,2023-01-04,PRD040,STR10,CUS01999,1,8234.9,0.0,6316.2,In-Store
114,2023-01-04,PRD038,STR10,CUS01047,1,12076.94,0.0,7419.68,In-Store
115,2023-01-04,PRD007,STR01,CUS00326,1,80040.53,0.0,43725.36,In-Store
116,2023-01-04,PRD048,STR11,CUS00643,2,892.97,0.0,502.98,In-Store
117,2023-01-04,PRD035,STR08,CUS02081,1,7988.65,0.0,4776.76,In-Store
118,2023-01-04,PRD035,STR13,CUS00905,1,7988.65,0.0,4776.76,In-Store
119,2023-01-04,PRD032,STR01,CUS02260,1,5225.34,0.0,3782.27,In-Store
120,2023-01-04,PRD015,STR13,CUS01887,1,1179.13,0.0,939.71,In-Store
121,2023-01-04,PRD027,STR05,CUS00933,1,4506.83,0.0,3009.24,In-Store
122,2023-01-04,PRD043,STR12,CUS01052,1,354.16,0.0,280.18,In-Store
123,2023-01-04,PRD033,STR11,CUS00489,2,6468.2,0.05,4738.95,In-Store
124,2023-01-05,PRD007,STR10,CUS00246,1,80040.53,0.0,43725.36,In-Store
125,2023-01-05,PRD017,STR16,CUS00161,1,2842.6,0.05,2119.97,Online
126,2023-01-05,PRD050,STR14,CUS02002,2,764.72,0.0,563.54,Online
127,2023-01-05,PRD050,STR05,CUS00807,2,764.72,0.0,563.54,In-Store
128,2023-01-05,PRD008,STR02,CUS00689,2,27873.72,0.0,21802.36,In-Store
129,2023-01-05,PRD039,STR17,CUS02240,1,6108.59,0.15,4829.6,Online
130,2023-01-05,PRD046,STR16,CUS01532,1,617.95,0.1,468.13,Online
131,2023-01-05,PRD009,STR01,CUS00952,2,54125.68,0.0,31212.63,In-Store
132,2023-01-05,PRD044,STR15,CUS01970,2,177.02,0.0,109.94,Online
133,2023-01-05,PRD026,STR02,CUS00170,1,4459.32,0.15,3305.64,In-Store
134,2023-01-05,PRD021,STR02,CUS02422,3,5064.11,0.0,2806.05,In-Store
135,2023-01-05,PRD038,STR14,CUS00957,2,12076.94,0.0,7419.68,Online
136,2023-01-05,PRD010,STR10,CUS00215,1,27395.05,0.0,17615.0,In-Store
137,2023-01-05,PRD038,STR08,CUS01234,1,12076.94,0.0,7419.68,In-Store
138,2023-01-05,PRD035,STR17,CUS00201,2,7988.65,0.0,4776.76,Online
139,2023-01-05,PRD018,STR15,CUS02330,1,2923.47,0.0,1807.51,Online
140,2023-01-05,PRD048,STR01,CUS00897,1,892.97,0.0,502.98,In-Store
141,2023-01-05,PRD042,STR11,CUS01866,2,266.99,0.0,182.18,In-Store
142,2023-01-05,PRD043,STR14,CUS00608,1,354.16,0.0,280.18,Online
143,2023-01-05,PRD019,STR10,CUS00094,2,3752.67,0.0,2331.1,In-Store
144,2023-01-05,PRD019,STR18,CUS01810,1,3752.67,0.2,2331.1,Online
145,2023-01-05,PRD044,STR12,CUS02486,1,177.02,0.0,109.94,In-Store
146,2023-01-05,PRD026,STR02,CUS00609,2,4459.32,0.0,3305.64,In-Store
147,2023-01-05,PRD049,STR04,CUS02037,2,824.82,0.0,573.15,In-Store
148,2023-01-05,PRD038,STR15,CUS02050,1,12076.94,0.0,7419.68,Online
149,2023-01-05,PRD009,STR18,CUS00286,2,54125.68,0.0,31212.63,Online
150,2023-01-06,PRD006,STR12,CUS00435,1,50500.57,0.0,28977.4,In-Store
151,2023-01-06,PRD024,STR07,CUS01717,1,6786.83,0.0,4995.71,In-Store
152,2023-01-06,PRD026,STR08,CUS01980,1,4459.32,0.0,3305.64,In-Store
153,2023-01-06,PRD042,STR11,CUS00833,1,266.99,0.0,182.18,In-Store
154,2023-01-06,PRD012,STR14,CUS00241,2,3043.12,0.0,1698.89,Online
155,2023-01-06,PRD045,STR10,CUS01184,1,592.01,0.0,413.18,In-Store
156,2023-01-06,PRD047,STR09,CUS00833,1,205.45,0.0,161.22,In-Store
157,2023-01-06,PRD008,STR13,CUS01156,2,27873.72,0.15,21802.36,In-Store
158,2023-01-06,PRD044,STR13,CUS00549,1,177.02,0.0,109.94,In-Store
159,2023-01-06,PRD035,STR15,CUS02488,2,7988.65,0.0,4776.76,Online
160,2023-01-06,PRD049,STR02,CUS00629,1,824.82,0.0,573.15,In-Store
161,2023-01-06,PRD043,STR14,CUS01454,1,354.16,0.0,280.18,Online
162,2023-01-06,PRD047,STR09,CUS00632,1,205.45,0.0,161.22,In-Store
163,2023-01-06,PRD015,STR02,CUS01616,2,1179.13,0.0,939.71,In-Store
164,2023-01-06,PRD029,STR12,CUS00831,2,10664.77,0.0,5794.25,In-Store
165,2023-01-06,PRD007,STR13,CUS00321,1,80040.53,0.0,43725.36,In-Store
166,2023-01-06,PRD028,STR10,CUS00724,1,3337.73,0.0,2553.79,In-Store
167,2023-01-06,PRD004,STR15,CUS00415,1,52665.96,0.0,29508.13,Online
168,2023-01-06,PRD022,STR05,CUS00442,2,3053.81,0.0,2119.47,In-Store
169,2023-01-06,PRD011,STR04,CUS00779,1,1116.0,0.0,715.75,In-Store
170,2023-01-06,PRD036,STR06,CUS02400,1,899.47,0.0,572.51,In-Store
171,2023-01-06,PRD020,STR08,CUS00652,1,611.43,0.0,398.62,In-Store
172,2023-01-06,PRD049,STR13,CUS00213,3,824.82,0.0,573.15,In-Store
173,2023-01-06,PRD017,STR15,CUS01295,2,2842.6,0.0,2119.97,Online
174,2023-01-06,PRD035,STR13,CUS01943,1,7988.65,0.0,4776.76,In-Store
175,2023-01-07,PRD013,STR15,CUS00115,4,2327.49,0.0,1299.57,Online
176,2023-01-07,PRD043,STR01,CUS00774,1,354.16,0.0,280.18,In-Store
177,2023-01-07,PRD012,STR03,CUS01382,1,3043.12,0.0,1698.89,In-Store
178,2023-01-07,PRD032,STR15,CUS01640,2,5225.34,0.0,3782.27,Online
179,2023-01-07,PRD032,STR09,CUS01486,1,5225.34,0.0,3782.27,In-Store
180,2023-01-07,PRD045,STR16,CUS00094,1,592.01,0.0,413.18,Online
181,2023-01-07,PRD027,STR11,CUS01669,1,4506.83,0.0,3009.24,In-Store
182,2023-01-07,PRD046,STR11,CUS00868,1,617.95,0.0,468.13,In-Store
183,2023-01-07,PRD042,STR05,CUS00114,1,266.99,0.0,182.18,In-Store
184,2023-01-07,PRD041,STR03,CUS01366,1,575.91,0.0,309.7,In-Store
185,2023-01-07,PRD016,STR18,CUS00773,1,4493.03,0.0,2556.53,Online
186,2023-01-07,PRD050,STR02,CUS01244,1,764.72,0.0,563.54,In-Store
187,2023-01-07,PRD012,STR10,CUS00602,2,3043.12,0.0,1698.89,In-Store
188,2023-01-07,PRD018,STR05,CUS01553,2,2923.47,0.0,1807.51,In-Store
189,2023-01-07,PRD020,STR05,CUS00118,1,611.43,0.2,398.62,In-Store
190,2023-01-07,PRD009,STR11,CUS02423,1,54125.68,0.0,31212.63,In-Store
191,2023-01-07,PRD019,STR15,CUS00863,1,3752.67,0.0,2331.1,Online
192,2023-01-07,PRD046,STR14,CUS01253,1,617.95,0.0,468.13,Online
193,2023-01-07,PRD031,STR16,CUS00842,1,5326.19,0.0,3732.55,Online
194,2023-01-07,PRD029,STR05,CUS00107,1,10664.77,0.15,5794.25,In-Store
195,2023-01-07,PRD048,STR09,CUS01209,1,892.97,0.0,502.98,In-Store
196,2023-01-07,PRD035,STR01,CUS02409,2,7988.65,0.0,4776.76,In-Store
197,2023-01-07,PRD005,STR14,CUS00941,1,18335.12,0.0,11384.88,Online
198,2023-01-07,PRD004,STR06,CUS02154,2,52665.96,0.0,29508.13,In-Store
199,2023-01-07,PRD004,STR10,CUS00298,1,52665.96,0.0,29508.13,In-Store
200,2023-01-07,PRD026,STR03,CUS00153,1,4459.32,0.0,3305.64,In-Store
201,2023-01-07,PRD050,STR15,CUS02136,2,764.72,0.0,563.54,Online
202,2023-01-07,PRD020,STR15,CUS01901,2,611.43,0.0,398.62,Online
203,2023-01-07,PRD009,STR16,CUS01566,1,54125.68,0.0,31212.63,Online
204,2023-01-08,PRD040,STR14,CUS00014,2,8234.9,0.2,6316.2,Online
205,2023-01-08,PRD040,STR17,CUS01322,1,8234.9,0.0,6316.2,Online
206,2023-01-08,PRD029,STR18,CUS00241,1,10664.77,0.0,5794.25,Online
207,2023-01-08,PRD036,STR16,CUS01080,1,899.47,0.0,572.51,Online
208,2023-01-08,PRD039,STR03,CUS00564,1,6108.59,0.0,4829.6,In-Store
209,2023-01-08,PRD047,STR16,CUS00336,1,205.45,0.0,161.22,Online
210,2023-01-08,PRD006,STR15,CUS02218,1,50500.57,0.0,28977.4,Online
211,2023-01-08,PRD015,STR16,CUS00387,1,1179.13,0.0,939.71,Online
212,2023-01-08,PRD048,STR03,CUS02176,1,892.97,0.0,502.98,In-Store
213,2023-01-08,PRD002,STR02,CUS00723,1,76663.16,0.1,43939.57,In-Store
214,2023-01-08,PRD004,STR17,CUS00126,1,52665.96,0.0,29508.13,Online
215,2023-01-08,PRD006,STR03,CUS02028,1,50500.57,0.0,28977.4,In-Store
216,2023-01-08,PRD033,STR07,CUS00895,1,6468.2,0.0,4738.95,In-Store
217,2023-01-08,PRD004,STR09,CUS00480,1,52665.96,0.0,29508.13,In-Store
218,2023-01-08,PRD034,STR02,CUS00209,1,8918.55,0.0,5825.84,In-Store
219,2023-01-08,PRD027,STR01,CUS01230,1,4506.83,0.0,3009.24,In-Store
220,2023-01-08,PRD002,STR18,CUS01824,1,76663.16,0.0,43939.57,Online
221,2023-01-08,PRD003,STR16,CUS01541,1,10911.78,0.2,7072.94,Online
222,2023-01-08,PRD037,STR17,CUS00937,1,1804.66,0.0,1370.06,Online
223,2023-01-08,PRD002,STR05,CUS01596,1,76663.16,0.0,43939.57,In-Store
224,2023-01-08,PRD038,STR04,CUS00495,2,12076.94,0.0,7419.68,In-Store
225,2023-01-08,PRD037,STR08,CUS01075,3,1804.66,0.2,1370.06,In-Store
226,2023-01-08,PRD001,STR09,CUS00324,1,37230.73,0.0,20591.21,In-Store
227,2023-01-09,PRD002,STR05,CUS00292,1,76663.16,0.0,43939.57,In-Store
228,2023-01-09,PRD016,STR17,CUS01813,1,4493.03,0.0,2556.53,Online
229,2023-01-09,PRD042,STR08,CUS00618,3,266.99,0.0,182.18,In-Store
230,2023-01-09,PRD044,STR14,CUS00458,1,177.02,0.0,109.94,Online
231,2023-01-09,PRD038,STR07,CUS00392,1,12076.94,0.0,7419.68,In-Store
232,2023-01-09,PRD014,STR03,CUS01531,1,2070.71,0.0,1222.65,In-Store
233,2023-01-09,PRD037,STR16,CUS00816,2,1804.66,0.0,1370.06,Online
234,2023-01-09,PRD039,STR01,CUS02012,2,6108.59,0.0,4829.6,In-Store
235,2023-01-09,PRD047,STR01,CUS00708,1,205.45,0.0,161.22,In-Store
236,2023-01-09,PRD028,STR07,CUS01129,1,3337.73,0.0,2553.79,In-Store
237,2023-01-09,PRD016,STR12,CUS02329,1,4493.03,0.0,2556.53,In-Store
238,2023-01-09,PRD047,STR06,CUS00853,1,205.45,0.05,161.22,In-Store
239,2023-01-09,PRD043,STR02,CUS01631,1,354.16,0.0,280.18,In-Store
240,2023-01-09,PRD049,STR06,CUS00865,1,824.82,0.2,573.15,In-Store
241,2023-01-09,PRD020,STR05,CUS01062,1,611.43,0.0,398.62,In-Store
242,2023-01-09,PRD040,STR01,CUS01064,4,8234.9,0.0,6316.2,In-Store
243,2023-01-09,PRD030,STR10,CUS00898,1,10244.81,0.0,5833.55,In-Store
244,2023-01-10,PRD046,STR04,CUS00620,1,617.95,0.0,468.13,In-Store
245,2023-01-10,PRD018,STR13,CUS01740,1,2923.47,0.0,1807.51,In-Store
246,2023-01-10,PRD021,STR13,CUS01112,1,5064.11,0.0,2806.05,In-Store
247,2023-01-10,PRD003,STR05,CUS00365,1,10911.78,0.0,7072.94,In-Store
248,2023-01-10,PRD043,STR11,CUS01214,1,354.16,0.0,280.18,In-Store
249,2023-01-10,PRD024,STR11,CUS01085,2,6786.83,0.0,4995.71,In-Store
250,2023-01-10,PRD049,STR15,CUS02047,1,824.82,0.0,573.15,Online
251,2023-01-10,PRD005,STR03,CUS00188,1,18335.12,0.0,11384.88,In-Store
252,2023-01-10,PRD005,STR04,CUS02096,1,18335.12,0.0,11384.88,In-Store
253,2023-01-10,PRD002,STR09,CUS00444,1,76663.16,0.0,43939.57,In-Store
254,2023-01-10,PRD008,STR01,CUS00418,1,27873.72,0.1,21802.36,In-Store
255,2023-01-10,PRD032,STR08,CUS02409,1,5225.34,0.0,3782.27,In-Store
256,2023-01-10,PRD009,STR14,CUS02084,1,54125.68,0.0,31212.63,Online
257,2023-01-10,PRD016,STR03,CUS00893,2,4493.03,0.1,2556.53,In-Store
258,2023-01-10,PRD050,STR09,CUS01628,1,764.72,0.0,563.54,In-Store
259,2023-01-10,PRD036,STR18,CUS00614,2,899.47,0.0,572.51,Online
260,2023-01-10,PRD033,STR09,CUS00136,2,6468.2,0.0,4738.95,In-Store
261,2023-01-10,PRD019,STR09,CUS02096,1,3752.67,0.0,2331.1,In-Store
262,2023-01-10,PRD024,STR10,CUS00094,1,6786.83,0.0,4995.71,In-Store
263,2023-01-10,PRD004,STR03,CUS00554,1,52665.96,0.0,29508.13,In-Store
264,2023-01-10,PRD004,STR03,CUS00089,2,52665.96,0.0,29508.13,In-Store
265,2023-01-10,PRD033,STR12,CUS01642,2,6468.2,0.0,4738.95,In-Store
266,2023-01-10,PRD020,STR07,CUS01925,1,611.43,0.0,398.62,In-Store
267,2023-01-10,PRD024,STR05,CUS00217,2,6786.83,0.0,4995.71,In-Store
268,2023-01-10,PRD040,STR01,CUS01262,3,8234.9,0.0,6316.2,In-Store
269,2023-01-10,PRD019,STR15,CUS02227,2,3752.67,0.1,2331.1,Online
270,2023-01-10,PRD043,STR01,CUS02270,4,354.16,0.0,280.18,In-Store
271,2023-01-10,PRD006,STR14,CUS01991,2,50500.57,0.0,28977.4,Online
272,2023-01-10,PRD039,STR07,CUS00698,3,6108.59,0.0,4829.6,In-Store
273,2023-01-10,PRD047,STR11,CUS01249,1,205.45,0.0,161.22,In-Store
274,2023-01-11,PRD044,STR13,CUS00948,1,177.02,0.0,109.94,In-Store
275,2023-01-11,PRD024,STR16,CUS00378,2,6786.83,0.0,4995.71,Online
276,2023-01-11,PRD050,STR06,CUS02264,2,764.72,0.0,563.54,In-Store
277,2023-01-11,PRD021,STR13,CUS00711,1,5064.11,0.15,2806.05,In-Store
278,2023-01-11,PRD021,STR03,CUS01818,1,5064.11,0.0,2806.05,In-Store
279,2023-01-11,PRD046,STR15,CUS01932,2,617.95,0.0,468.13,Online
280,2023-01-11,PRD020,STR17,CUS01083,1,611.43,0.0,398.62,Online
281,2023-01-11,PRD018,STR03,CUS00821,3,2923.47,0.0,1807.51,In-Store
282,2023-01-11,PRD042,STR13,CUS01181,1,266.99,0.0,182.18,In-Store
283,2023-01-11,PRD046,STR09,CUS01301,1,617.95,0.0,468.13,In-Store
284,2023-01-11,PRD046,STR10,CUS00898,1,617.95,0.0,468.13,In-Store
285,2023-01-11,PRD020,STR13,CUS01384,2,611.43,0.05,398.62,In-Store
286,2023-01-11,PRD014,STR09,CUS00130,3,2070.71,0.0,1222.65,In-Store
287,2023-01-11,PRD043,STR11,CUS00711,1,354.16,0.0,280.18,In-Store
288,2023-01-11,PRD034,STR04,CUS02190,1,8918.55,0.0,5825.84,In-Store
289,2023-01-11,PRD026,STR07,CUS01765,2,4459.32,0.0,3305.64,In-Store
290,2023-01-11,PRD022,STR16,CUS01883,1,3053.81,0.0,2119.47,Online
291,2023-01-11,PRD026,STR02,CUS00690,1,4459.32,0.2,3305.64,In-Store
292,2023-01-11,PRD020,STR11,CUS00505,1,611.43,0.0,398.62,In-Store
293,2023-01-11,PRD050,STR03,CUS00798,1,764.72,0.0,563.54,In-Store
294,2023-01-11,PRD004,STR15,CUS01898,2,52665.96,0.0,29508.13,Online
295,2023-01-11,PRD002,STR10,CUS01393,2,76663.16,0.0,43939.57,In-Store
296,2023-01-11,PRD016,STR07,CUS00520,1,4493.03,0.0,2556.53,In-Store
297,2023-01-11,PRD008,STR05,CUS00487,2,27873.72,0.15,21802.36,In-Store
298,2023-01-11,PRD006,STR08,CUS00522,1,50500.57,0.0,28977.4,In-Store
299,2023-01-11,PRD022,STR17,CUS00046,2,3053.81,0.0,2119.47,Online
300,2023-01-11,PRD025,STR09,CUS02367,1,1867.86,0.0,1086.26,In-Store
301,2023-01-11,PRD005,STR09,CUS01125,1,18335.12,0.0,11384.88,In-Store
302,2023-01-11,PRD031,STR14,CUS01728,1,5326.19,0.0,3732.55,Online
303,2023-01-12,PRD047,STR02,CUS01228,1,205.45,0.0,161.22,In-Store
304,2023-01-12,PRD050,STR01,CUS01867,1,764.72,0.0,563.54,In-Store
305,2023-01-12,PRD041,STR02,CUS01277,2,575.91,0.0,309.7,In-Store
306,2023-01-12,PRD008,STR07,CUS01848,2,27873.72,0.0,21802.36,In-Store
307,2023-01-12,PRD003,STR09,CUS01390,2,10911.78,0.0,7072.94,In-Store
308,2023-01-12,PRD044,STR03,CUS01840,3,177.02,0.0,109.94,In-Store
309,2023-01-12,PRD040,STR08,CUS01004,1,8234.9,0.2,6316.2,In-Store
310,2023-01-12,PRD035,STR08,CUS01422,1,7988.65,0.0,4776.76,In-Store
311,2023-01-12,PRD046,STR02,CUS01976,1,617.95,0.0,468.13,In-Store
312,2023-01-12,PRD022,STR17,CUS00870,2,3053.81,0.0,2119.47,Online
313,2023-01-12,PRD050,STR11,CUS02172,2,764.72,0.2,563.54,In-Store
314,2023-01-12,PRD037,STR07,CUS02222,1,1804.66,0.0,1370.06,In-Store
315,2023-01-12,PRD023,STR09,CUS00052,4,6348.35,0.0,3607.97,In-Store
316,2023-01-12,PRD033,STR06,CUS01662,2,6468.2,0.0,4738.95,In-Store
